"country","iso3c","region","gdp_2019","gdp_2020","gdp_2021","SP.POP.TOTL_2019","SP.POP.TOTL_2020","SP.POP.TOTL_2021","tourism_gdp_share_2019","tourism_gdp_share_2020","tourism_gdp_share_2021","tourism_2019","tourism_2020","tourism_2021","change_gdp","tourism"
"Bulgaria","BGR","Europe & Central Asia",57444273407.3906,55170276014.5092,59363216991.6119,6975761,6934015,6934015,8.399444738001039,8.399444738001039,8.399444738001039,"5-10% GDP","5-10% GDP","5-10% GDP",3.3405306924369818,"5-10% GDP"
"Burkina Faso","BFA","Sub-Saharan Africa",15001629028.4851,15291209207.4632,16346302642.77816,20951639,21522626,21522626,1.2610745523587685,1.2610745523587685,1.2610745523587685,"< 5% GDP","< 5% GDP","< 5% GDP",8.963517306952422,"< 5% GDP"
"Cabo Verde","CPV","Sub-Saharan Africa",1915123782.86887,1632003277.60234,1746243507.034504,577030,582640,582640,29.606441373237487,29.606441373237487,29.606441373237487,">= 10% GDP",">= 10% GDP",">= 10% GDP",-8.81824336082246,">= 10% GDP"
"Cambodia","KHM","East Asia & Pacific",23760061873.3006,23024448758.5057,23715182221.26087,16207746,16396860,16396860,22.356844137553125,22.356844137553125,22.356844137553125,">= 10% GDP",">= 10% GDP",">= 10% GDP",-0.1888869325300787,">= 10% GDP"
"Cameroon","CMR","Sub-Saharan Africa",37502066705.0088,37599546920.5223,38953130609.6611,25782341,26491087,26491087,1.8158999218809593,1.8158999218809593,1.8158999218809593,"< 5% GDP","< 5% GDP","< 5% GDP",3.869290500884584,"< 5% GDP"
"Cayman Islands","CYM","Latin America & Caribbean",5432239889.59558,5123472698.90796,NA,66134,67311,67311,17.175235611133147,17.175235611133147,17.175235611133147,">= 10% GDP",">= 10% GDP",">= 10% GDP",NA,">= 10% GDP"
"Chile","CHL","Latin America & Caribbean",262080762440.351,246412987238.941,275243306745.8971,19039485,19300315,19300315,1.2713638227293984,1.2713638227293984,1.2713638227293984,"< 5% GDP","< 5% GDP","< 5% GDP",5.022323723032455,"< 5% GDP"
"Colombia","COL","Latin America & Caribbean",321393979777.57,298741646109.87,330707002243.6261,50187406,50930662,50930662,2.1114272285673947,2.1114272285673947,2.1114272285673947,"< 5% GDP","< 5% GDP","< 5% GDP",2.8976966128928234,"< 5% GDP"
"Comoros","COM","Sub-Saharan Africa",1092843782.19173,1090706651.56557,1114702197.9000127,790986,806166,806166,6.652368909872739,6.652368909872739,6.652368909872739,"5-10% GDP","5-10% GDP","5-10% GDP",2.0001409226527347,"5-10% GDP"
"Congo, Rep.","COG","Sub-Saharan Africa",9647394740.73764,9045462946.7046,8846462761.877098,5570733,5702174,5702174,0.40440779372211105,0.40440779372211105,0.40440779372211105,"< 5% GDP","< 5% GDP","< 5% GDP",-8.3020546000723,"< 5% GDP"
"Costa Rica","CRI","Latin America & Caribbean",64382490582.6343,61774415011.1398,66592819382.00871,5084532,5123105,5123105,6.371297479918275,6.371297479918275,6.371297479918275,"5-10% GDP","5-10% GDP","5-10% GDP",3.4331209920148664,"5-10% GDP"
"Cote d'Ivoire","CIV","Sub-Saharan Africa",59861589342.7008,61046143153.121,65319373173.83948,26147551,26811790,26811790,1.0044362043273805,1.0044362043273805,1.0044362043273805,"< 5% GDP","< 5% GDP","< 5% GDP",9.117338665857144,"< 5% GDP"
"Croatia","HRV","Europe & Central Asia",57205880317.0277,52297419557.6084,59148381519.6551,4065253,4047680,4047680,20.954139563222473,20.954139563222473,20.954139563222473,">= 10% GDP",">= 10% GDP",">= 10% GDP",3.3956320431786056,">= 10% GDP"
"Cuba","CUB","Latin America & Caribbean",91019611431.1927,81054474018.3486,NA,11316697,11300698,11300698,2.9059671409381016,2.9059671409381016,2.9059671409381016,"< 5% GDP","< 5% GDP","< 5% GDP",NA,"< 5% GDP"
"Cyprus","CYP","Europe & Central Asia",25012087656.4461,23918440580.3503,25254285486.762863,1228836,1237537,1237537,12.973727121749075,12.973727121749075,12.973727121749075,">= 10% GDP",">= 10% GDP",">= 10% GDP",0.9683231309736186,">= 10% GDP"
"Ecuador","ECU","Latin America & Caribbean",101702140245.144,93781977159.7812,97720820200.49202,17343740,17588595,17588595,2.2497068345710116,2.2497068345710116,2.2497068345710116,"< 5% GDP","< 5% GDP","< 5% GDP",-3.9146865887535487,"< 5% GDP"
"Egypt, Arab Rep.","EGY","Middle East & North Africa",398037429245.42,412246049856.462,425850169501.72516,105618671,107465134,107465134,3.5815727247123044,3.5815727247123044,3.5815727247123044,"< 5% GDP","< 5% GDP","< 5% GDP",6.987468567725205,"< 5% GDP"
"El Salvador","SLV","Latin America & Caribbean",25779775109.375,23671706843.75,26086220941.812504,6280217,6292731,6292731,6.4546722884129215,6.4546722884129215,6.4546722884129215,"5-10% GDP","5-10% GDP","5-10% GDP",1.1887063837343663,"5-10% GDP"
