"region_iso3c","date","Female","Male","gap"
"EAS",2015,3.6725432184438063,4.3850129449694615,-0.7124697265256552
"EAS",2016,3.5543017025506076,4.309568273120745,-0.7552665705701376
"EAS",2017,3.45198473342531,4.157076627156496,-0.7050918937311854
"EAS",2018,3.368577576188696,4.034897199796788,-0.6663196236080919
"EAS",2019,3.3937013087516306,4.107534078239372,-0.7138327694877411
"EAS",2020,3.8435163204594978,4.62545902514982,-0.7819427046903225
"EAS",2021,3.544605053887068,4.361313219973797,-0.8167081660867295
"EAS",2022,3.6046252709660522,4.4509736500326005,-0.8463483790665483
"ECS",2015,8.887743100268027,8.683902314995187,0.2038407852728401
"ECS",2016,8.511738290755362,8.196247424143573,0.31549086661178904
"ECS",2017,7.986538275304397,7.554206316598627,0.43233195870577035
"ECS",2018,7.44473284035621,6.938961657520822,0.5057711828353879
"ECS",2019,7.2913972970400085,6.7250381813354245,0.566359115704584
"ECS",2020,7.641394569416242,7.122119512155142,0.5192750572611002
"ECS",2021,7.591215664013686,6.831008401620202,0.7602072623934841
"ECS",2022,7.057043767605897,6.121578833040202,0.9354649345656956
"LCN",2015,7.797302615161953,5.75581484995563,2.0414877652063224
"LCN",2016,8.927866033242186,6.745550625019902,2.1823154082222835
"LCN",2017,9.218382889536311,6.9266385201292495,2.291744369407062
"LCN",2018,9.133693063016382,6.810225028763878,2.323468034252504
"LCN",2019,9.267713474873482,6.772064546914379,2.4956489279591025
"LCN",2020,11.557302424052562,8.872716409329371,2.684586014723191
"LCN",2021,10.992289524153271,7.658761389460823,3.3335281346924486
"LCN",2022,8.37821453471986,5.849445138285091,2.528769396434768
"MEA",2015,19.981473463103914,8.749880733141916,11.231592729961998
"MEA",2016,20.155010627732192,8.722156838822885,11.432853788909307
"MEA",2017,20.714487888153226,8.761730248738958,11.952757639414267
"MEA",2018,19.86282067596027,8.654864069358156,11.207956606602112
"MEA",2019,19.4337542818769,7.972492696146375,11.461261585730526
"MEA",2020,18.93547029769979,8.95526877983141,9.98020151786838
"MEA",2021,19.063261425955872,8.780957785964832,10.28230363999104
"MEA",2022,18.890782357232077,8.400735061873018,10.490047295359059
"NAC",2015,5.288583512737512,5.5767449512319125,-0.28816143849440046
"NAC",2016,4.934873056580721,5.214560336380261,-0.27968727979954
"NAC",2017,4.466510626067991,4.641389720218161,-0.1748790941501701
"NAC",2018,4.008753895608576,4.173755172857289,-0.16500127724871305
"NAC",2019,3.7793125614905576,3.9581583589256453,-0.17884579743508766
"NAC",2020,8.45304896859888,7.974071841996214,0.47897712660266567
"NAC",2021,5.415966332852268,5.697684921673772,-0.28171858882150413
"NAC",2022,3.6921916874626173,3.848160437374332,-0.1559687499117146
"SAS",2015,7.864271601968826,6.832145309916424,1.0321262920524026
"SAS",2016,7.746785908443649,6.843811168196055,0.9029747402475943
"SAS",2017,7.559257848443624,6.851428196868982,0.7078296515746425
"SAS",2018,7.425264182122922,6.8373087142868805,0.5879554678360419
"SAS",2019,6.403036804083955,6.161123417396003,0.24191338668795215
"SAS",2020,8.887289556707685,9.41400529335757,-0.5267157366498854
"SAS",2021,7.357225359408682,7.286272708048749,0.07095265135993323
"SAS",2022,7.1564485551685975,6.937498222922452,0.21895033224614568
"SSF",2015,6.786951496044677,5.618368491323104,1.1685830047215724
"SSF",2016,6.825360927549907,5.666156758409055,1.1592041691408523
"SSF",2017,6.868826698713004,5.745771724272238,1.123054974440766
"SSF",2018,6.892082490668097,5.754358008759035,1.1377244819090615
"SSF",2019,7.024031391761469,5.9078091323032655,1.1162222594582039
"SSF",2020,7.624103231456472,6.563475404102478,1.0606278273539935
"SSF",2021,7.923410585812708,6.651817264472073,1.2715933213406352
"SSF",2022,7.8958242637759195,6.590986861465383,1.304837402310537
